,species,pop,point,PC1,PC2
0,DUSE,QUIN,,-0.33658782459244657,0.5112062054555196
1,DUSE,QUIN,,0.20012558345624815,0.010170374067482025
2,DUSE,QUIN,,0.3455979725371838,0.10464639010489986
3,DUSE,QUIN,EAMFDu-787,-0.2492459390524438,-0.42132513251791154
4,DUSE,QUIN,MRHSDu-788,0.2100884984414128,0.008933755677933329
5,DUSE,QUIN,MRHSDu-789,0.3220316770753925,0.10014203284494241
6,DUSE,QUIN,SSRJDu-790,0.2787943463318516,0.10487255051628895
7,DUSE,QUIN,SSRJDu-791,-0.2501022693388328,-0.1107956805675831
8,DUSE,QUIN,CRDCDu-793,-0.4057546122995197,0.5611946200647224
9,DUSE,QUIN,,0.27332763448507097,0.10260610267889045
10,DUSE,QUIN,IFMLDu-787,-0.2483526754872665,-0.4206363242288159
11,DUSE,QUIN,IFMLDu-791,-0.2755975815148918,-0.11964338747941715
