sample,population,raw_reads,raw_bases,post_fastp_reads,passed_filter,low_quality,too_short,too_many_N,flagstat_total,mapped_reads,mapping_rate,angsd_total_sites,angsd_covered_sites,angsd_mean_depth,fastp_retention_pct,reads_lost_fastp,reads_lost_mapping
ABAB_MAD_LP_322_Du-593_fastp_report,ABAB_MAD,14447920,2167188000,13577190,13577190,192184,676798,1748,15815173,12090017,76.45,232312807,164514207,4.63,93.9733193428535,870730,1487173
ABBE_BERN_LP_312_Du-781_fastp_report,ABBE_BERN,12367560,1855134000,11154268,11154268,269808,942038,1446,13547815,13082356,96.56,232312837,175389137,5.01,90.18972214406075,1213292,-1928088
ABMU_HOR_LP_308_Du-777_fastp_report,ABMU_HOR,15299202,2294880300,14568466,14568466,268658,460174,1904,16602001,16129978,97.16,232312646,182050846,7.18,95.22369859552151,730736,-1561512
BAI_LP_105_Du-222_fastp_report,BAI,12041946,1806291900,11567168,11567168,144916,328474,1388,12433528,11520072,92.65,232312771,200794871,5.13,96.05729838017875,474778,47096
COM_LP_269_Du-703_fastp_report,COM,11377416,1706612400,10878130,10878130,125288,372672,1326,12313170,12063105,97.97,232312692,202907092,5.34,95.61160460336512,499286,-1184975
CROB_LP_177_Du-389_fastp_report,CROB,18794018,2819102700,18223634,18223634,210374,357638,2372,18762864,18408773,98.11,232312932,218283432,8.81,96.96507686647954,570384,-185139
CY_BOU_LP_290_Du-739_fastp_report,CY_BOU,10041198,1506179700,9457924,9457924,156908,425100,1266,10835099,10590775,97.75,232312987,179284087,4.47,94.19119113077942,583274,-1132851
CY_HICN_LP_236_Du-614_fastp_report,CY_HICN,16547382,2482107300,16108362,16108362,132856,304248,1916,17971933,17592626,97.89,232312982,193202782,7.28,97.34689149014629,439020,-1484264
CY_HUN_LP_267_Du-686_fastp_report,CY_HUN,2331758,349763700,1840550,1840550,17730,473270,208,1886670,1825354,96.75,232312726,64781726,2.6,78.9340060160617,491208,15196
CY_SIE_LP_189_Du-446_fastp_report,CY_SIE,29118214,4367732100,27330268,27330268,232004,1552388,3554,28635738,26662816,93.11,232312868,200019568,11.08,93.85969894994247,1787946,667452
DOV_LP_080_Du-176_fastp_report,DOV,39759510,5963926500,37803494,37803494,547892,1403732,4392,39994434,39048684,97.64,232312921,217709121,15.34,95.08038202684088,1956016,-1245190
DUD_LP_136_Du-287_fastp_report,DUD,13267488,1990123200,12846510,12846510,104532,314758,1688,13423018,13153938,98.0,232312795,213193095,5.95,96.82699543425251,420978,-307428
KIRN_LP_184_Du-426_fastp_report,KIRN,25127000,3769050000,24261308,24261308,314002,548726,2964,25503155,25201495,98.82,232312811,218645611,11.92,96.55473395152625,865692,-940187
MALV_LP_095_Du-201_fastp_report,MALV,38223238,5733485700,35534058,35534058,604106,2081102,3972,38099249,36768158,96.51,232312801,222383761,13.9,92.96454162255955,2689180,-1234100
QUI1_LP_255_Du-654_fastp_report,QUI1,12500112,1875016800,10785086,10785086,107366,1606274,1386,12045803,11878754,98.61,232312824,192449624,5.33,86.27991493196221,1715026,-1093668
QUIN_LP_10__fastp_report,QUIN,19013370,2852005500,17635820,17635820,220628,1156922,0,20737670,20228729,97.55,232312739,198944039,7.03,92.75483515021271,1377550,-2592909
QUIN_LP_11__fastp_report,QUIN,23807328,3571099200,22343576,22343576,252904,1210848,0,26249160,25532421,97.27,232312704,203718304,7.57,93.85167457683617,1463752,-3188845
QUIN_LP_14__fastp_report,QUIN,26007558,3901133700,24173032,24173032,316646,1517880,0,27248568,26511908,97.3,232312735,205131435,7.82,92.94618126007832,1834526,-2338876
QUIN_LP_17__fastp_report,QUIN,20714288,3107143200,20001868,20001868,238200,474220,0,20512554,18654461,90.94,232312860,208729860,7.48,96.56073141398826,712420,1347407
QUIN_LP_19__fastp_report,QUIN,25693000,3853950000,24612638,24612638,250278,830084,0,28735093,27290145,94.97,232312836,209922436,10.01,95.79511150897132,1080362,-2677507
QUIN_LP_1__fastp_report,QUIN,18207174,2731076100,17204670,17204670,156862,845642,0,19016693,18381527,96.66,232312863,203271863,6.93,94.49390663262734,1002504,-1176857
QUIN_LP_20__fastp_report,QUIN,20957290,3143593500,19567572,19567572,206766,1182952,0,23399291,22922734,97.96,232312812,204754912,7.95,93.36880865798966,1389718,-3355162
QUIN_LP_22__fastp_report,QUIN,33065984,4959897600,30647192,30647192,322304,2096488,0,35209593,34435048,97.8,232312754,210561154,12.58,92.68495381840141,2418792,-3787856
QUIN_LP_23__fastp_report,QUIN,26218090,3932713500,25129348,25129348,232302,856440,0,28825144,28153098,97.67,232312975,207742875,9.64,95.84736340442801,1088742,-3023750
QUIN_LP_25__fastp_report,QUIN,16722536,2508380400,15985440,15985440,166974,570122,0,18571040,18080245,97.36,232312730,200681230,6.89,95.5921996520145,737096,-2094805
QUIN_LP_26__fastp_report,QUIN,14828398,2224259700,13445128,13445128,120282,1262988,0,16125760,15834105,98.19,232312833,181574333,5.38,90.67148049303775,1383270,-2388977
QUIN_LP_28__fastp_report,QUIN,17646604,2646990600,16424016,16424016,197696,1024892,0,19073687,18677677,97.92,232312954,187749054,6.12,93.07182277111222,1222588,-2253661
QUIN_LP_29__fastp_report,QUIN,27540802,4131120300,25073240,25073240,246112,2221450,0,28679024,28200318,98.33,232312860,206562260,9.67,91.04034080053297,2467562,-3127078
QUIN_LP_31__fastp_report,QUIN,14465346,2169801900,13360570,13360570,98052,1006724,0,13700518,11130332,81.24,232312836,184915436,5.08,92.3626023186725,1104776,2230238
QUIN_LP_32__fastp_report,QUIN,13507412,2026111800,12796554,12796554,176358,534500,0,15261604,14917543,97.75,232312730,191590030,5.52,94.73727461633658,710858,-2120989
QUIN_LP_37__fastp_report,QUIN,29888630,4483294500,28219494,28219494,242320,1426816,0,30081129,29437836,97.86,232312921,211619721,12.61,94.4154817400463,1669136,-1218342
QUIN_LP_40__fastp_report,QUIN,30318818,4547822700,29022852,29022852,389876,906090,0,33811131,33021172,97.66,232312910,211497110,11.25,95.72553916844647,1295966,-3998320
QUIN_LP_41__fastp_report,QUIN,30880198,4632029700,29355356,29355356,665918,858924,0,36344114,35505469,97.69,232312722,209226422,9.08,95.06207181702656,1524842,-6150113
QUIN_LP_43__fastp_report,QUIN,19561328,2934199200,18596604,18596604,271664,693060,0,20194681,19396501,96.05,232312960,204209960,7.39,95.06820804804255,964724,-799897
QUIN_LP_44__fastp_report,QUIN,17191188,2578678200,16480502,16480502,251092,459594,0,18604410,17933647,96.39,232312806,198159206,6.26,95.86598669039044,710686,-1453145
QUIN_LP_52__fastp_report,QUIN,2617006,392550900,2532858,2532858,35488,48660,0,2914099,2854282,97.95,232312472,97862472,2.43,96.78456984813944,84148,-321424
QUIN_LP_55__fastp_report,QUIN,23285658,3492848700,21612034,21612034,409668,1263956,0,24651331,24158316,98.0,232312834,208784334,8.51,92.81264029558452,1673624,-2546282
QUIN_LP_56__fastp_report,QUIN,24438648,3665797200,23335626,23335626,288006,815016,0,26886379,26285366,97.76,232312888,208312688,7.67,95.48656701467283,1103022,-2949740
QUIN_LP_58__fastp_report,QUIN,27829966,4174494900,24424064,24424064,336390,3069512,0,28828244,28378312,98.44,232312920,207596520,8.52,87.76174573838861,3405902,-3954248
QUIN_LP_59__fastp_report,QUIN,24116474,3617471100,22977112,22977112,259010,880352,0,25627568,25166054,98.2,232312819,208877319,8.51,95.27558630668811,1139362,-2188942
QUIN_LP_5__fastp_report,QUIN,3547168,532075200,3290580,3290580,65994,190594,0,3577193,3231287,90.33,232312965,97000965,2.79,92.76639843390558,256588,59293
QUIN_LP_61__fastp_report,QUIN,26214156,3932123400,25079062,25079062,385510,749584,0,28344597,27704475,97.74,232312910,211556110,9.72,95.66991971818585,1135094,-2625413
QUIN_LP_62__fastp_report,QUIN,3124914,468737100,2974876,2974876,75316,74722,0,3221311,3108787,96.51,232312987,111930987,2.46,95.19865186689938,150038,-133911
QUIN_LP_63__fastp_report,QUIN,2251940,337791000,2021820,2021820,77334,152786,0,2358815,2281513,96.72,232312542,75878542,2.42,89.78125527323108,230120,-259693
QUIN_LP_64__fastp_report,QUIN,24022032,3603304800,23268732,23268732,403872,349428,0,26742766,26169393,97.86,232312855,211300855,9.18,96.86412872982602,753300,-2900661
QUIN_LP_65__fastp_report,QUIN,1278200,191730000,1172078,1172078,42518,63604,0,1268921,1148404,90.5,232313237,52302237,1.94,91.69754342043498,106122,23674
QUIN_LP_66__fastp_report,QUIN,16151648,2422747200,15487234,15487234,397606,266808,0,18282294,17843550,97.6,232312776,204297476,6.33,95.88640118952567,664414,-2356316
QUIN_LP_7__fastp_report,QUIN,12496424,1874463600,11745322,11745322,115244,635858,0,13486790,13071966,96.92,232312872,187324172,5.33,93.98946450600587,751102,-1326644
QUIN_LP_8__fastp_report,QUIN,14877856,2231678400,14081544,14081544,136974,659338,0,17048209,16623650,97.51,232312974,196363574,6.22,94.64766966423119,796312,-2542106
RIC_LP_199_Du-528_fastp_report,RIC,43118740,6467811000,41321820,41321820,329456,1462096,5368,42827458,41959402,97.97,232312799,219858499,19.13,95.83262405163045,1796920,-637582
RSV_LP_050_Du-87_fastp_report,RSV,35589320,5338398000,34690794,34690794,461234,432874,4418,38353030,36179427,94.33,232312769,214847369,12.79,97.47529314974267,898526,-1488633
STI_LP_034_Du-52_fastp_report,STI,19298028,2894704200,18286912,18286912,230382,778522,2212,20082520,12467032,62.08,232312901,197770501,5.11,94.76052164500953,1011116,5819880
TULP_LP_120_Du-248_fastp_report,TULP,28773130,4315969500,26821142,26821142,495572,1453286,3130,27798014,26960671,96.99,232312879,219598679,11.3,93.21593444995383,1951988,-139529
