"","QUIN_LP_10_","QUIN_LP_11_","QUIN_LP_14_","QUIN_LP_17_","QUIN_LP_19_","QUIN_LP_1_","QUIN_LP_20_","QUIN_LP_22_","QUIN_LP_25_","QUIN_LP_26_","QUIN_LP_29_","QUIN_LP_31_","QUIN_LP_32_","QUIN_LP_37_","QUIN_LP_40_","QUIN_LP_41_","QUIN_LP_44_","QUIN_LP_52_","QUIN_LP_56_","QUIN_LP_58_","QUIN_LP_59_","QUIN_LP_5_","QUIN_LP_7_","QUIN_LP_8_"
"QUIN_LP_10_",0,0.070691985,0.070535199,0.070997465,0.074518979,0.06982476,0.074937742,0.070839194,0.071741884,0.067472,0.073051848,0.06848723,0.069120733,0.07218378,0.075042585,0.07409457,0.067139322,0.069339076,0.069679776,0.073020753,0.073968242,0.065968749,0.067503668,0.069519059
"QUIN_LP_11_",0.070691985,0,0.067469226,0.067142064,0.069708887,0.069335354,0.075090799,0.071518225,0.067881798,0.067546104,0.070996492,0.067055085,0.060299526,0.06594182,0.074070582,0.073579407,0.066437058,0.065250111,0.07022676,0.071041135,0.073596191,0.063779185,0.066376665,0.068078839
"QUIN_LP_14_",0.070535199,0.067469226,0,0.06774199,0.072324603,0.069184727,0.074674666,0.070946114,0.069066532,0.067367111,0.071339803,0.06964375,0.068239683,0.069243057,0.074983253,0.074385302,0.067223664,0.063245125,0.069091076,0.071234044,0.07455068,0.066612802,0.068885609,0.070445711
"QUIN_LP_17_",0.070997465,0.067142064,0.06774199,0,0.071850032,0.070739367,0.075461723,0.070188398,0.069385076,0.067342677,0.070544441,0.069035749,0.069227353,0.068407544,0.075792901,0.074843167,0.068375595,0.056811598,0.070838244,0.072962953,0.07395636,0.066640996,0.069918885,0.070875425
"QUIN_LP_19_",0.074518979,0.069708887,0.072324603,0.071850032,0,0.070671234,0.078548485,0.068841369,0.074261992,0.072816408,0.076181409,0.072691421,0.070757004,0.049044148,0.079040602,0.078243468,0.070548439,0.070787852,0.073326894,0.0753443,0.076631233,0.070305595,0.071467655,0.072857065
"QUIN_LP_1_",0.06982476,0.069335354,0.069184727,0.070739367,0.070671234,0,0.075339205,0.070213601,0.071008709,0.068202701,0.074307548,0.065550667,0.067596325,0.066896532,0.075412552,0.074572238,0.066581414,0.068382292,0.071185646,0.07279556,0.074321993,0.062770262,0.066005141,0.067280666
"QUIN_LP_20_",0.074937742,0.075090799,0.074674666,0.075461723,0.078548485,0.075339205,0,0.07634396,0.071216826,0.073271296,0.074029877,0.073170396,0.073647441,0.07519122,0.07241739,0.075373136,0.074627592,0.07247754,0.069431828,0.073780478,0.070936842,0.073285654,0.075193669,0.073973588
"QUIN_LP_22_",0.070839194,0.071518225,0.070946114,0.070188398,0.068841369,0.070213601,0.07634396,0,0.07074172,0.06778464,0.071528438,0.070598735,0.069972627,0.065348557,0.078180494,0.076319882,0.068046979,0.06729602,0.072083424,0.075895775,0.077045783,0.067800212,0.069597684,0.073416354
"QUIN_LP_25_",0.071741884,0.067881798,0.069066532,0.069385076,0.074261992,0.071008709,0.071216826,0.07074172,0,0.059995464,0.06352056,0.069294845,0.069354165,0.070385251,0.06498598,0.071461768,0.068769509,0.065779342,0.062458818,0.070363938,0.072366301,0.068818263,0.069466796,0.071901334
"QUIN_LP_26_",0.067472,0.067546104,0.067367111,0.067342677,0.072816408,0.068202701,0.073271296,0.06778464,0.059995464,0,0.058361413,0.067886035,0.06859325,0.069985613,0.0732527,0.072731311,0.065562222,0.064321004,0.057158679,0.072211473,0.07408123,0.064978233,0.066003421,0.07076706
