"","QUIN_LP_10_","QUIN_LP_11_","QUIN_LP_14_","QUIN_LP_17_","QUIN_LP_19_","QUIN_LP_1_","QUIN_LP_20_","QUIN_LP_22_","QUIN_LP_25_","QUIN_LP_26_","QUIN_LP_29_","QUIN_LP_31_","QUIN_LP_32_","QUIN_LP_37_","QUIN_LP_40_","QUIN_LP_41_","QUIN_LP_44_","QUIN_LP_52_","QUIN_LP_56_","QUIN_LP_58_","QUIN_LP_59_","QUIN_LP_5_","QUIN_LP_7_","QUIN_LP_8_"
"QUIN_LP_10_",0,1.89,14.07,10.34,33.26,12.86,60.03,33.49,30.36,30.49,30.8,3.83,3.48,33.13,60.39,60.95,12.23,15.58,30.52,12.44,12.07,19.25,3.85,3.55
"QUIN_LP_11_",1.89,0,15.83,8.77,34.81,10.97,61.82,35.04,32.2,32.33,32.64,5.72,5.37,34.67,62.18,62.75,10.35,17.37,32.36,14.03,13.64,17.37,5.74,5.44
"QUIN_LP_14_",14.07,15.83,0,21.85,19.87,26.21,45.99,20.07,20.69,20.8,21.05,10.63,10.93,19.75,46.35,46.92,25.59,1.63,20.82,12.8,12.91,32.54,10.61,10.87
"QUIN_LP_17_",10.34,8.77,21.85,0,38.46,5.95,67.11,38.72,40.33,40.45,40.76,13.75,13.43,38.3,67.48,68.06,5.56,23.47,40.48,22.76,22.38,11.3,13.77,13.5
"QUIN_LP_19_",33.26,34.81,19.87,38.46,0,43.87,29.85,0.28,26.83,26.84,26.87,30.25,30.52,0.17,30.23,30.83,43.31,18.77,26.84,31.49,31.73,49.75,30.24,30.47
"QUIN_LP_1_",12.86,10.97,26.21,5.95,43.87,0,72.02,44.13,43.09,43.22,43.54,16.68,16.33,43.72,72.39,72.97,0.63,27.81,43.25,24.38,23.96,6.41,16.7,16.4
"QUIN_LP_20_",60.03,61.82,45.99,67.11,29.85,72.02,0,29.57,38.14,38.05,37.82,56.42,56.75,30.02,0.38,0.98,71.42,44.45,38.02,53.67,54.06,78.23,56.4,56.68
"QUIN_LP_22_",33.49,35.04,20.07,38.72,0.28,44.13,29.57,0,26.8,26.81,26.84,30.47,30.73,0.45,29.95,30.55,43.56,18.96,26.81,31.64,31.89,50.01,30.45,30.68
"QUIN_LP_25_",30.36,32.2,20.69,40.33,26.83,43.09,38.14,26.8,0,0.13,0.45,26.65,26.99,26.84,38.41,38.84,42.48,19.42,0.16,19.32,19.77,49.41,26.63,26.92
"QUIN_LP_26_",30.49,32.33,20.8,40.45,26.84,43.22,38.05,26.81,0.13,0,0.32,26.78,27.11,26.86,38.32,38.75,42.61,19.52,0.03,19.45,19.9,49.53,26.76,27.05
