,QUIN_LP_10_,QUIN_LP_11_,QUIN_LP_14_,QUIN_LP_17_,QUIN_LP_19_,QUIN_LP_1_,QUIN_LP_20_,QUIN_LP_22_,QUIN_LP_23_,QUIN_LP_25_,QUIN_LP_26_,QUIN_LP_28_,QUIN_LP_29_,QUIN_LP_31_,QUIN_LP_32_,QUIN_LP_37_,QUIN_LP_40_,QUIN_LP_41_,QUIN_LP_43_,QUIN_LP_44_,QUIN_LP_52_,QUIN_LP_55_,QUIN_LP_56_,QUIN_LP_59_,QUIN_LP_5_,QUIN_LP_61_,QUIN_LP_62_,QUIN_LP_63_,QUIN_LP_64_,QUIN_LP_65_,QUIN_LP_7_,QUIN_LP_8_,QUIN_LP_58_,COM_LP_269_Du-703,DOV_LP_080_Du-176,RIC_LP_199_Du-528,CROB_LP_177_Du-389,KIRN_LP_184_Du-426,MALV_LP_095_Du-201,TULP_LP_120_Du-248,DUD_LP_136_Du-287,STI_LP_034_Du-52,RSV_LP_050_Du-87,QUI1_LP_255_Du-654,BAI_LP_105_Du-222
QUIN_LP_10_,0,0.070691985,0.070535199,0.070997465,0.074518979,0.06982476,0.074937742,0.070839194,0.070661849,0.071741884,0.067472,0.069635225,0.073051848,0.06848723,0.069120733,0.07218378,0.075042585,0.07409457,0.069540273,0.067139322,0.069339076,0.069635909,0.069679776,0.073968242,0.065968749,0.071252842,0.06625719,0.064964685,0.072561289,0.066410855,0.067503668,0.069519059,0.073020753,0.104830257,0.112689171,0.101566219,0.099775094,0.100365235,0.100211939,0.098567056,0.098443917,0.084655964,0.088628243,0.083847229,0.119886407
QUIN_LP_11_,0.070691985,0,0.067469226,0.067142064,0.069708887,0.069335354,0.075090799,0.071518225,0.071349367,0.067881798,0.067546104,0.06540818,0.070996492,0.067055085,0.060299526,0.06594182,0.074070582,0.073579407,0.069140838,0.066437058,0.065250111,0.06806532,0.07022676,0.073596191,0.063779185,0.067470312,0.061920134,0.058346982,0.068261424,0.053311426,0.066376665,0.068078839,0.071041135,0.104367582,0.112275468,0.101460875,0.0995233,0.1002154,0.099976235,0.098404371,0.098137814,0.08263617,0.086402551,0.082387275,0.119218771
QUIN_LP_14_,0.070535199,0.067469226,0,0.06774199,0.072324603,0.069184727,0.074674666,0.070946114,0.070730072,0.069066532,0.067367111,0.066407931,0.071339803,0.06964375,0.068239683,0.069243057,0.074983253,0.074385302,0.06895294,0.067223664,0.063245125,0.068334748,0.069091076,0.07455068,0.066612802,0.064793482,0.061916514,0.066745973,0.066252094,0.064387376,0.068885609,0.070445711,0.071234044,0.105100468,0.113067471,0.101771277,0.099633945,0.099925045,0.099672947,0.098394089,0.097823614,0.082998101,0.086841959,0.08274374,0.119227318
QUIN_LP_17_,0.070997465,0.067142064,0.06774199,0,0.071850032,0.070739367,0.075461723,0.070188398,0.06998427,0.069385076,0.067342677,0.066981163,0.070544441,0.069035749,0.069227353,0.068407544,0.075792901,0.074843167,0.070525087,0.068375595,0.056811598,0.068712318,0.070838244,0.07395636,0.066640996,0.070499078,0.065307826,0.065961463,0.059835504,0.064365201,0.069918885,0.070875425,0.072962953,0.104838314,0.112636027,0.101762476,0.100032311,0.100307266,0.100274454,0.098578323,0.098066492,0.083972249,0.087820636,0.083120799,0.119450054
QUIN_LP_19_,0.074518979,0.069708887,0.072324603,0.071850032,0,0.070671234,0.078548485,0.068841369,0.068599196,0.074261992,0.072816408,0.072376811,0.076181409,0.072691421,0.070757004,0.049044148,0.079040602,0.078243468,0.070525744,0.070548439,0.070787852,0.07363817,0.073326894,0.076631233,0.070305595,0.072683082,0.067075659,0.069731163,0.074009584,0.063842443,0.071467655,0.072857065,0.0753443,0.108097718,0.115942725,0.105458649,0.103204604,0.103673665,0.103920267,0.102306416,0.101571095,0.086780574,0.091117896,0.085721099,0.122481031
QUIN_LP_1_,0.06982476,0.069335354,0.069184727,0.070739367,0.070671234,0,0.075339205,0.070213601,0.069940259,0.071008709,0.068202701,0.068429753,0.074307548,0.065550667,0.067596325,0.066896532,0.075412552,0.074572238,0.042155882,0.066581414,0.068382292,0.069065004,0.071185646,0.074321993,0.062770262,0.071443518,0.06639777,0.065452452,0.071761318,0.063966438,0.066005141,0.067280666,0.07279556,0.104037968,0.111967104,0.101452685,0.099410778,0.099554581,0.099810757,0.097798904,0.097552616,0.084190389,0.08854623,0.083308807,0.119371647
QUIN_LP_20_,0.074937742,0.075090799,0.074674666,0.075461723,0.078548485,0.075339205,0,0.07634396,0.076100805,0.071216826,0.073271296,0.07268539,0.074029877,0.073170396,0.073647441,0.07519122,0.07241739,0.075373136,0.075184935,0.074627592,0.07247754,0.074121376,0.069431828,0.070936842,0.073285654,0.07763434,0.072579173,0.072866816,0.075657372,0.07213077,0.075193669,0.073973588,0.073780478,0.107675676,0.115709069,0.104617619,0.102750266,0.102917587,0.103210472,0.101491361,0.100613856,0.086720592,0.091230596,0.086303372,0.12193441
QUIN_LP_22_,0.070839194,0.071518225,0.070946114,0.070188398,0.068841369,0.070213601,0.07634396,0,0.036027944,0.07074172,0.06778464,0.06689059,0.071528438,0.070598735,0.069972627,0.065348557,0.078180494,0.076319882,0.069982994,0.068046979,0.06729602,0.068559352,0.072083424,0.077045783,0.067800212,0.071607848,0.067664707,0.068358555,0.070278804,0.06754635,0.069597684,0.073416354,0.075895775,0.107124798,0.113879949,0.103305151,0.102121814,0.10258812,0.102664882,0.100583467,0.100070221,0.085752232,0.09024266,0.086047393,0.121402376
QUIN_LP_23_,0.070661849,0.071349367,0.070730072,0.06998427,0.068599196,0.069940259,0.076100805,0.036027944,0,0.070562936,0.067669714,0.066707944,0.071340509,0.070374398,0.069720378,0.065218858,0.078007177,0.076134643,0.06974334,0.067837778,0.067082857,0.068374772,0.071928046,0.076816202,0.06754534,0.071374395,0.067509175,0.068332584,0.070150584,0.067336709,0.069407163,0.073206076,0.075676622,0.106772411,0.113551423,0.10294169,0.101698143,0.102155512,0.102230932,0.100139318,0.099597845,0.085499626,0.090026658,0.085818442,0.12115019
QUIN_LP_25_,0.071741884,0.067881798,0.069066532,0.069385076,0.074261992,0.071008709,0.071216826,0.07074172,0.070562936,0,0.059995464,0.052839478,0.06352056,0.069294845,0.069354165,0.070385251,0.06498598,0.071461768,0.070829909,0.068769509,0.065779342,0.058263713,0.062458818,0.072366301,0.068818263,0.069412082,0.065770153,0.068048311,0.068901974,0.065840621,0.069466796,0.071901334,0.070363938,0.104538118,0.112361506,0.101367016,0.099458485,0.099915242,0.09970265,0.098422266,0.097436724,0.083754214,0.087709101,0.082921352,0.118865161
QUIN_LP_26_,0.067472,0.067546104,0.067367111,0.067342677,0.072816408,0.068202701,0.073271296,0.06778464,0.067669714,0.059995464,0,0.044906453,0.058361413,0.067886035,0.06859325,0.069985613,0.0732527,0.072731311,0.068023331,0.065562222,0.064321004,0.044495734,0.057158679,0.07408123,0.064978233,0.067702291,0.063442243,0.064299256,0.067906533,0.064747803,0.066003421,0.07076706,0.072211473,0.103026836,0.11021103,0.099731018,0.098087799,0.097947772,0.098222512,0.096100868,0.095881152,0.082595852,0.087037381,0.082700775,0.118090448
QUIN_LP_28_,0.069635225,0.06540818,0.066407931,0.066981163,0.072376811,0.068429753,0.07268539,0.06689059,0.066707944,0.052839478,0.044906453,0,0.056297637,0.067648586,0.067624821,0.069251415,0.070204266,0.071949166,0.068287932,0.066248677,0.062935432,0.044786642,0.0587338,0.0725967,0.065981922,0.065658158,0.062431675,0.064977868,0.06613956,0.063771432,0.067235596,0.070090575,0.070526907,0.103816913,0.1112585,0.10018177,0.098684395,0.098744714,0.098886844,0.097017715,0.09668369,0.082706653,0.087222663,0.082619405,0.118259007
QUIN_LP_29_,0.073051848,0.070996492,0.071339803,0.070544441,0.076181409,0.074307548,0.074029877,0.071528438,0.071340509,0.06352056,0.058361413,0.056297637,0,0.07200386,0.071262772,0.072258211,0.072134994,0.071842367,0.074153113,0.071215624,0.068767923,0.059691057,0.064120872,0.073387073,0.071355016,0.072992034,0.067820141,0.069923656,0.071815912,0.069480215,0.071178963,0.074083101,0.072773915,0.106395393,0.113739674,0.102739354,0.101283871,0.101770286,0.101866422,0.099831722,0.099027365,0.085594741,0.090124215,0.085425708,0.120568771
QUIN_LP_31_,0.06848723,0.067055085,0.06964375,0.069035749,0.072691421,0.065550667,0.073170396,0.070598735,0.070374398,0.069294845,0.067886035,0.067648586,0.07200386,0,0.064219583,0.068999738,0.074149713,0.072602268,0.065314293,0.062873917,0.065762799,0.068389953,0.070599315,0.072071483,0.063467391,0.069152824,0.064010942,0.064942511,0.069525723,0.062830032,0.060647308,0.061713426,0.071321656,0.101837569,0.110060721,0.099649943,0.096806374,0.097424038,0.097385854,0.095638504,0.095352305,0.081972336,0.086019676,0.080491842,0.117059662
QUIN_LP_32_,0.069120733,0.060299526,0.068239683,0.069227353,0.070757004,0.067596325,0.073647441,0.069972627,0.069720378,0.069354165,0.06859325,0.067624821,0.071262772,0.064219583,0,0.068363179,0.074379114,0.072369076,0.067382012,0.064566131,0.066371493,0.068406018,0.069892661,0.072965909,0.063661994,0.070144165,0.062826289,0.065079311,0.069867203,0.060218874,0.062851697,0.067351884,0.070259828,0.104168349,0.112155652,0.101648665,0.099453407,0.099789342,0.099580586,0.098028088,0.097429334,0.083345247,0.087463592,0.082332445,0.119168094
QUIN_LP_37_,0.07218378,0.06594182,0.069243057,0.068407544,0.049044148,0.066896532,0.07519122,0.065348557,0.065218858,0.070385251,0.069985613,0.069251415,0.072258211,0.068999738,0.068363179,0,0.075355094,0.075316928,0.066698586,0.067587774,0.06786553,0.070842087,0.070281357,0.07483707,0.067302862,0.06829917,0.063150477,0.066612178,0.07102784,0.060221329,0.068207802,0.06907127,0.07260983,0.105981035,0.113418648,0.103046059,0.100816876,0.101682098,0.101747052,0.100283347,0.099308117,0.084439956,0.08850587,0.083573897,0.119721552
QUIN_LP_40_,0.075042585,0.074070582,0.074983253,0.075792901,0.079040602,0.075412552,0.07241739,0.078180494,0.078007177,0.06498598,0.0732527,0.070204266,0.072134994,0.074149713,0.074379114,0.075355094,0,0.073136097,0.075227539,0.075201235,0.074114682,0.072591919,0.070957832,0.072167229,0.074369516,0.07760276,0.072588863,0.071114057,0.077217096,0.070676672,0.074867365,0.07603916,0.072362342,0.108148635,0.116004605,0.104957479,0.102913605,0.103743975,0.103939881,0.10251771,0.10083907,0.087293843,0.091318425,0.086597027,0.122419984
QUIN_LP_41_,0.07409457,0.073579407,0.074385302,0.074843167,0.078243468,0.074572238,0.075373136,0.076319882,0.076134643,0.071461768,0.072731311,0.071949166,0.071842367,0.072602268,0.072369076,0.075316928,0.073136097,0,0.074392992,0.072688768,0.071440867,0.07285052,0.073812055,0.073704901,0.071664874,0.07664298,0.070612403,0.071288906,0.074553616,0.070500468,0.073361363,0.074870006,0.071090941,0.107053654,0.114553082,0.103908178,0.101373732,0.101899882,0.102025799,0.100472326,0.099905825,0.085572845,0.089529961,0.084950733,0.121429182
QUIN_LP_43_,0.069540273,0.069140838,0.06895294,0.070525087,0.070525744,0.042155882,0.075184935,0.069982994,0.06974334,0.070829909,0.068023331,0.068287932,0.074153113,0.065314293,0.067382012,0.066698586,0.075227539,0.074392992,0,0.066402003,0.068359437,0.06888818,0.071006336,0.074113991,0.062678865,0.071266367,0.066350018,0.065243184,0.071592361,0.063726606,0.065824379,0.067065108,0.072669762,0.103898478,0.11175209,0.101197658,0.099142461,0.099338119,0.099619454,0.09759969,0.097364037,0.083954784,0.088305866,0.083093191,0.119199936
QUIN_LP_44_,0.067139322,0.066437058,0.067223664,0.068375595,0.070548439,0.066581414,0.074627592,0.068046979,0.067837778,0.068769509,0.065562222,0.066248677,0.071215624,0.062873917,0.064566131,0.067587774,0.075201235,0.072688768,0.066402003,0,0.065073434,0.066533781,0.068960119,0.07296826,0.062343484,0.067388529,0.061984968,0.06415506,0.068220046,0.061828369,0.059241211,0.066122589,0.070757178,0.103409686,0.111110416,0.100342483,0.098069982,0.098538883,0.098299373,0.096844276,0.096626799,0.082627868,0.086456113,0.082043141,0.118285255
