Original Order,Measurement Date,Sample #,Replicate,Original Tag,Actual Species (JBW),Corrected Code,Length (mm),Width at Midpoint (mm),Width at Widest (mm),Width at Base (mm),Length/Width at Midpoint,Notes
85,260302,29,A,DU? Madonna Inn 250217A,DUAB,,114.39,5.09,5.3,5.87,22.47347741,
86,260302,29,B,DU? Madonna Inn 250217A,DUAB,,119.19,5.78,6.15,6.82,20.62110727,
87,260302,29,C,DU? Madonna Inn 250217A,DUAB,,117.47,5.96,6.12,6.37,19.70973154,
7,260220,3,A,DU? Madonna Inn 250217B,DUAB,,79.95,8.7,9.02,8.77,9.189655172,"Cannot find in greenhouse, different tag date than other madonna inn"
8,260220,3,B,DU? Madonna Inn 250217B,DUAB,,84.48,7.83,8.28,9.52,10.78927203,"Cannot find in greenhouse, different tag date than other madonna inn"
9,260220,3,C,DU? Madonna Inn 250217B,DUAB,,98.67,8.53,8.6,9.35,11.56740914,"Cannot find in greenhouse, different tag date than other madonna inn"
67,260223,23,A,DU? Madonna Inn 250217C,DUAB,,144.6,9.86,12.35,12.35,14.6653144,
68,260223,23,B,DU? Madonna Inn 250217C,DUAB,,123.31,9.01,10.1,8.65,13.68590455,
69,260223,23,C,DU? Madonna Inn 250217C,DUAB,,143.21,8.81,11.48,11.48,16.2553916,
205,260414,68,A,DU? Madonna Inn 250217D More like DU ABBE,DUAB,,130.63,5.02,6.08,6.08,26.02191235,
206,260414,68,B,DU? Madonna Inn 250217D More like DU ABBE,DUAB,,133.25,5.07,6.04,6.04,26.28205128,
207,260414,68,C,DU? Madonna Inn 250217D More like DU ABBE,DUAB,,118.93,6.04,7.67,7.67,19.69039735,
28,260223,10,A,DUABMU Horse Canyon 250908B,DUAB,,95.46,13.58,13.72,12,7.029455081,DUAB Long skinny leaves; DUAB vase like inflorence
29,260223,10,B,DUABMU Horse Canyon 250908B,DUAB,,93.1,10.36,11.62,11.83,8.986486486,DUAB Long skinny leaves; DUAB vase like inflorence
30,260223,10,C,DUABMU Horse Canyon 250908B,DUAB,,100.59,13.15,13.3,12.11,7.649429658,DUAB Long skinny leaves; DUAB vase like inflorence
49,260223,17,A,DUABMU Horse Canyon 250908C,DUAB,,89.26,9.315,10.695,9.415,9.582393988,"Average taken for midpoint between sample #56 and 17, DUAB Long skinny leaves; DUAB vase like inflorence"
50,260223,17,B,DUABMU Horse Canyon 250908C,DUAB,,83.2,8.705,9.32,8.44,9.557725445,"Average taken for midpoint between sample #56 and 17, DUAB Long skinny leaves; DUAB vase like inflorence"
51,260223,17,C,DUABMU Horse Canyon 250908C,DUAB,,87.765,8.24,10.135,9.74,10.65109223,"Average taken for midpoint between sample #56 and 17, DUAB Long skinny leaves; DUAB vase like inflorence"
187,260410,62,A,231216 Little Uvas Creek 'DUCY' Du-24,DUCY,,73.94,14.8,15.02,12.15,4.995945946,
188,260410,62,B,231216 Little Uvas Creek 'DUCY' Du-24,DUCY,,84.25,15.75,19.61,12.87,5.349206349,
189,260410,62,C,231216 Little Uvas Creek 'DUCY' Du-24,DUCY,,81.27,17.15,17.38,12.84,4.73877551,
37,260223,13,A,DU? Hick's Road 250708B,DUCY,,60.18,19.65,20.47,14.31,3.06259542,
38,260223,13,B,DU? Hick's Road 250708B,DUCY,,56.28,19.99,20.49,14.26,2.815407704,
39,260223,13,C,DU? Hick's Road 250708B,DUCY,,58.58,20.2,20.38,14.7,2.9,
16,260220,6,A,DU? Hicks Rd 250708A,DUCY,,48.91,16.23,18.82,12.45,3.013555145,
17,260220,6,B,DU? Hicks Rd 250708A,DUCY,,51.02,18.31,18.42,13.73,2.786455489,
18,260220,6,C,DU? Hicks Rd 250708A,DUCY,,44.99,17.33,17.35,12.37,2.596076168,
25,260223,9,A,DU? Hicks Rd 250708C,DUCY,,41.555,18.075,18.77,13.215,2.299031812,Average taken for midpoint between sample #8 and 9
26,260223,9,B,DU? Hicks Rd 250708C,DUCY,,41.76,16.41,17.025,12.68,2.544789762,Average taken for midpoint between sample #8 and 9
27,260223,9,C,DU? Hicks Rd 250708C,DUCY,,36.585,16.355,16.83,11.67,2.236930602,Average taken for midpoint between sample #8 and 9
157,260330,52,A,DU? Hicks Rd South 250812A,DUCY,,52.26,26.29,25.81,14.91,1.987828072,
158,260330,52,B,DU? Hicks Rd South 250812A,DUCY,,44.17,23.93,23.96,15.16,1.845800251,
159,260330,52,C,DU? Hicks Rd South 250812A,DUCY,,49.24,17.51,19.08,13.89,2.812107367,
211,260423,72,A,Du? Hicks Rd South 250812B,DUCY,,39.96,17.85,17.96,11.92,2.238655462,
212,260423,72,B,Du? Hicks Rd South 250812B,DUCY,,36.65,18.79,19.27,12.79,1.950505588,
213,260423,72,C,Du? Hicks Rd South 250812B,DUCY,,39.62,18.62,19.13,12.81,2.127819549,
79,260302,27,A,DUCY #118 Little Uvas Creek 241216,DUCY,,56.27,19.79,23.03,14.71,2.84335523,
80,260302,27,B,DUCY #118 Little Uvas Creek 241216,DUCY,,65.39,21.92,24.74,14.36,2.983120438,
81,260302,27,C,DUCY #118 Little Uvas Creek 241216,DUCY,,48.7,19.08,23.07,16.88,2.552410901,
40,260223,14,A,DUCY Hick's Creek Rd 250714B,DUCY,,67.9,20.36,23.38,14.47,3.33497053,
41,260223,14,B,DUCY Hick's Creek Rd 250714B,DUCY,,66.15,17,17.11,10.76,3.891176471,
42,260223,14,C,DUCY Hick's Creek Rd 250714B,DUCY,,70.46,20.32,20.39,15.41,3.467519685,
91,260305,31,A,DUCY Hick's Creek Rd 250714C,DUCY,,76.78,22.58,22.85,13.82,3.400354296,
92,260305,31,B,DUCY Hick's Creek Rd 250714C,DUCY,,68.75,23.93,23.98,13.54,2.872962808,
93,260305,31,C,DUCY Hick's Creek Rd 250714C,DUCY,,75.45,26.3,26.47,14.64,2.868821293,
136,260313,45,A,DUCY Hick's Creek Rd 250714D,DUCY,,52.86,14.42,15.61,10.64,3.665742025,
137,260313,45,B,DUCY Hick's Creek Rd 250714D,DUCY,,60.94,16.78,16.8,9.62,3.63170441,
138,260313,45,C,DUCY Hick's Creek Rd 250714D,DUCY,,68.35,16.15,16.71,12.08,4.232198142,
94,260305,32,A,DUCY Hicks Creek Rd 250714A,DUCY,,77.59,16.93,18.3,12.96,4.582988777,
95,260305,32,B,DUCY Hicks Creek Rd 250714A,DUCY,,77.46,14.31,15.92,13.71,5.412997904,
96,260305,32,C,DUCY Hicks Creek Rd 250714A,DUCY,,82.62,16.32,17.18,11.19,5.0625,
70,260223,24,A,DUCY Hunting Hollow 250714,DUCY,,82.14,23.32,23.32,14.06,3.522298456,
71,260223,24,B,DUCY Hunting Hollow 250714,DUCY,,76.42,25.02,25.02,13.17,3.054356515,
72,260223,24,C,DUCY Hunting Hollow 250714,DUCY,,79.42,23.96,23.96,14.19,3.314691152,
160,260330,53,A,DUCY Little Uvas Creek 6N 231216 #111,DUCY,,63.16,15.87,15.89,16.12,3.979836169,
161,260330,53,B,DUCY Little Uvas Creek 6N 231216 #111,DUCY,,57.07,14.57,14.57,13.3,3.916952642,
